prod_id,prod_name,prod_stock,prod_image,prod_saleprice,prod_price,prod_sku,prod_cat
101240,64 Page Garden Express Growing Guide,instock,Growing_Guide_Front_Cover_15-160x160.jpg,,$2.00,GG,product_cat-garden-library
204276,Tree Guard 05,instock,Tree_Guard-05-160x160.jpg,$1.47,$2.10,ACCTREGUA,"product_cat-new-year-specials,product_cat-page-32-33-hard-goods,product_cat-page-49-50-hardgoods,product_cat-page-60-61-hardgoods,product_cat-page-60-61-tools-and-accessories,product_cat-plant-protection"
42393,Planting & Storage Basket Round 26Cm,instock,Bulb_Baskets_New1-160x160.jpg,$5.53,$7.90,ACCBASRND,"product_cat-new-year-specials,product_cat-page-30-bulb-accessories,product_cat-page-51-60-spring-bulb-pre-order,product_cat-garden-gear"
42420,Bulb Planter,instock,Bulb_Planting_Accessories_13-160x160.jpg,$4.90,$7.00,ACCBULPLA,"product_cat-new-year-specials,product_cat-page-30-bulb-accessories,product_cat-page-51-60-spring-bulb-pre-order,product_cat-assorted-tools"
311064,Chinese Virginia Creeper,instock,chinese-virginia-creeper-rachida-boutboul-cc0-via-wikimedia-.jpg,$2.95,$5.90,LPOCHIVCR,"product_cat-exclusively-online,product_cat-new-year-specials,product_cat-climbing-plants"
42722,Soft Garden Ties Roll  -  25M,instock,Garden_Soft_Tie-01-160x160.jpg,$5.32,$7.60,ACCSOFGTI,"product_cat-new-year-specials,product_cat-page-30-bulb-accessories,product_cat-page-32-33-hard-goods,product_cat-page-43-45-hard-goods,product_cat-page-49-50-hardgoods,product_cat-page-60-61-hardgoods,product_cat-arches-obelisks-supports"
152564,Supercharge Rose Planting Starter X 3Kg,instock,Supercharge_Rose_Starter2016-ACCROSSTA-160x160.jpg,$12.60,$18.00,ACCROSSTA,"product_cat-accessory-specials,product_cat-new-year-specials,product_cat-page-14-17-floribunda-roses,product_cat-rose-specials,product_cat-fertilisers-soil-conditioners"
312184,Bhg Princess Lily Sara (Pbr),instock,princesslily-sara-bhplisar-160x160.jpg,$6.40,$12.80,PPLPLISAR,"product_cat-exclusively-online,product_cat-new-year-specials,product_cat-page-12-princess-lilies,product_cat-alstroemeria"
255761,Dianthus Supra Pink,instock,Dianthus-Supra-Pink-LPODIASPI-160x160.jpg,$2.45,$4.90,LPODIASPI,"product_cat-page-32-35-flowering-shrubs,product_cat-ground-cover-plants"
304853,Plant Label T-Label,instock,T-Label-Plant-Markers-Pencil-09-160x160.jpg,$4.90,$7.10,ACCORTLAB,"product_cat-new-year-specials,product_cat-page-43-45-hard-goods,product_cat-garden-gear"
45192,Agapanthus Tall White,instock,agapanthus-tall-white-plaagawhi-2018-160x160.jpg,$4.83,$6.90,PLAAGAWHI,"product_cat-new-year-specials,product_cat-page-09-agapanthus,product_cat-page-27-agapanthus,product_cat-page-33-agapanthus,product_cat-page-35-agapanthus-autumn-2018,product_cat-page-56-agapanthus,product_cat-agapanthus"
309702,Banksia Mallee Candles,instock,banksia-mallee-candles-lpobanmca-160x160.jpg,$3.20,$6.40,LPOBANMCA,"product_cat-exclusively-online,product_cat-page-28-30-natives,product_cat-native-shrubs"
42544,Greeting Card Gift Set,instock,accgcgse-giftcards-160x160.jpg,$8.40,$12.00,ACCGCAGSE,"product_cat-new-year-specials,product_cat-gift-ideas"
299320,Patch From Scratch Kit,instock,bhg-patchfromscratch-160x160.jpg,$34.30,$49.00,KITPATSCR,"product_cat-better-homes-gardens,product_cat-new-year-specials"
42767,Weed Mat Felt - 380Mm Diameter X 2.4Mm Thick,instock,Tree%20Guard_Mat_08-160x160.jpg,$1.19,$1.70,ACCWEEDMF,"product_cat-accessory-specials,product_cat-new-year-specials,product_cat-page-32-33-hard-goods,product_cat-page-49-50-hardgoods,product_cat-page-60-61-hardgoods,product_cat-page-60-61-tools-and-accessories,product_cat-plant-protection"
218088,Zephyranthes White,instock,zephyranthes-candida-courtesy-starr-environmental-flickr--16.jpg,$6.30,$7.90,PKZEPWHI,"product_cat-bulb-specials,product_cat-new-year-specials,product_cat-page-04-07-autumn-flowering-bulbs-summer-2018,product_cat-page-16-17-autumn-flowering,product_cat-other-autumn-bulbs"
309616,Insectrap Fruit Fly And Gall Wasp Trap,instock,insectrap-fruit-fly-and-gall-wasp-trap-accinstra-160x160.jpg,$6.65,$9.50,ACCINSTRA,"product_cat-new-year-specials,product_cat-page-43-45-hard-goods,product_cat-plant-protection"
112618,Hippeastrum Glass Vase,instock,Hippy-Vase-ACCHIPVAS-160x160.jpg,$15.75,$22.50,ACCHIPVAS,"product_cat-email-specials,product_cat-new-year-specials,product_cat-page-19-hippeastrum-mixed-vase-kits,product_cat-hippeastrum"
42704,Rooter Pot Small  -  10Cm X 8Cm,instock,Rooter_pot-160x160.jpg,$2.77,$3.95,ACCROOPTS,"product_cat-new-year-specials,product_cat-garden-accessories"
52858,Wollemi Pine  -  150Mm Pot,instock,Wollemi_and_box-160x160.jpg,$79.20,$99.00,PPLWOL150,"product_cat-better-homes-gardens,product_cat-current-catalogue,product_cat-gardening-australia-offers,product_cat-new-year-specials,product_cat-page-03-wollemi-pine,product_cat-page-64-wollemi-pine-autumn-2018,product_cat-plant-specials,product_cat-wollemi-pine"
42706,Rose De-Thorner,instock,Rose%20De-Thorner-160x160.jpg,$3.43,$4.90,ACCROSDTH,"product_cat-new-year-specials,product_cat-page-32-33-hard-goods,product_cat-assorted-tools"
